Day	Month	Year	Site	Transect	Road	DistRoad	RoadSide	Light100	TempMean	TempMax	TempMin	WindMean	WindMax	ANPA	EPFU	MYEV	MYTH	LANO	LACI	MYCA	LABL	PAHE	MYLU	MYVO	TABR	MYYU	COTO	EUPE	TotAbund
15	8	2010	DOED	1	84	0	1	Yes	59.5	66.9	55.9	8.9	15	0	0	0	0	0	2	0	0	0	0	0	25	3	0	0	30
15	8	2010	DOED	1	84	100	0	No	59.5	66.9	55.9	8.9	15	0	0	0	0	1	3	0	0	0	0	0	20	2	0	0	26
15	8	2010	DOED	1	84	300	0	No	59.5	66.9	55.9	8.9	15	0	0	0	0	0	2	0	0	0	0	0	14	0	0	0	16
15	8	2010	DOED	2	84	0	1	Yes	59.5	66.9	55.9	8.9	15	0	0	0	0	0	3	0	1	0	1	0	21	3	0	0	29
15	8	2010	DOED	2	84	100	1	No	59.5	66.9	55.9	8.9	15	0	0	0	0	0	4	0	2	0	0	0	38	3	0	0	47
15	8	2010	DOED	2	84	300	1	No	59.5	66.9	55.9	8.9	15	0	0	0	0	0	3	0	0	0	1	0	22	2	0	0	28
16	8	2010	DOED	3	84	0	1	No	60.2	69.1	55	8	15	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	7
16	8	2010	DOED	3	84	100	0	No	60.2	69.1	55	8	15	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	5
16	8	2010	DOED	3	84	300	0	No	60.2	69.1	55	8	15	0	0	0	0	0	2	0	1	0	0	0	3	0	0	0	6
16	8	2010	DOED	4	84	0	1	Yes	60.2	69.1	55	8	15	0	1	0	0	0	7	0	0	0	0	0	5	1	0	0	14
16	8	2010	DOED	4	84	100	0	No	60.2	69.1	55	8	15	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	3
17	8	2010	DOED	3	84	0	1	No	60.6	71.1	55.9	9	15.9	0	0	0	0	0	6	0	1	0	0	0	4	0	0	0	11
17	8	2010	DOED	3	84	100	0	No	60.6	71.1	55.9	9	15.9	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	7
17	8	2010	DOED	3	84	300	0	No	60.6	71.1	55.9	9	15.9	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	5
17	8	2010	DOED	4	84	0	1	Yes	60.6	71.1	55.9	9	15.9	0	0	0	0	0	10	0	0	0	0	0	4	0	0	0	14
17	8	2010	DOED	4	84	100	0	No	60.6	71.1	55.9	9	15.9	0	0	0	0	0	6	0	1	0	0	0	3	0	0	0	10
18	8	2010	DOED	3	84	0	1	No	63.3	70	60.1	10.6	15	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	7
18	8	2010	DOED	3	84	100	0	No	63.3	70	60.1	10.6	15	0	0	0	0	0	5	0	0	0	0	0	8	2	0	0	15
18	8	2010	DOED	3	84	300	0	No	63.3	70	60.1	10.6	15	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	6
18	8	2010	DOED	4	84	0	1	Yes	63.3	70	60.1	10.6	15	0	0	0	0	1	4	0	0	0	0	0	5	1	0	0	11
18	8	2010	DOED	4	84	100	0	No	63.3	70	60.1	10.6	15	0	0	0	0	0	9	0	1	0	0	0	6	0	0	0	16
31	8	2010	SAPA	7	37	0	1	No	65.9	81	61	5.8	15	0	1	0	0	1	9	0	1	1	1	0	101	5	0	0	120
31	8	2010	SAPA	7	37	100	0	No	65.9	81	61	5.8	15	0	0	0	0	0	22	0	0	0	2	0	99	3	0	0	126
