Species	Plot	Year	Firstegg	Cowbird
AMGO	G3	1992	112	0
AMGO	B6	1994	88	0
BEVI	B9	1996	47	1
BEVI	33	1995	61	0
BEVI	36	1995	63	1
BEVI	7	1995	87	1
BEVI	B9	1996	94	0
BEVI	33	1996	89	0
BEVI	7	1996	103	0
BEVI	B5	1994	70	0
BEVI	B5	1996	93	0
BEVI	34	1995	62	1
BEVI	7	1994	87	0
BEVI	B9	1992	50	0
BEVI	33	1996	50	0
BEVI	B9	1995	97	1
BEVI	B9	1995	81	1
BEVI	B3	1996	80	1
BEVI	B9	1995	67	1
BEVI	B6	1995	69	1
BEVI	B9	1993	35	1
BEVI	B9	1995	90	0
BEVI	B9	1993	37	1
BGGN	B6	1995	13	0
BGGN	B6	1996	25	0
BLGR	B8	1995	72	0
BLGR	10	1992	64	1
BLGR	10	1993	NA	1
BLGR	10	1995	100	1
BLGR	B9	1996	108	1
COGR	7	1993	41	0
COGR	G1	1995	36	0
COGR	7	1992	43	0
COGR	7	1993	43	0
COGR	41	1993	44	0
COGR	13	1996	70	0
COGR	36	1996	68	0
COGR	42	1992	37	0
COGR	G1	1995	31	0
COGR	7	1993	39	0
COGR	7	1993	43	0
COGR	G3	1993	60	0
COGR	41	1995	35	0
COGR	36	1995	45	0
COGR	42	1996	70	0
COGR	41	1995	33	0
COGR	41	1995	47	0
COGR	41	1993	34	0
COGR	46	1995	51	0
COGR	44	1992	55	0
COGR	B5	1993	60	0
COGR	43	1992	80	0
COGR	G3	1995	57	0
COGR	44	1992	57	0
COGR	G3	1993	99	0
COGR	13	1992	50	0
COGR	44	1992	51	0
COGR	44	1993	66	0
COGR	44	1992	67	0
COGR	32	1996	60	0
COGR	43	1992	72	0
COGR	43	1995	81	0
COGR	44	1992	39	0
COGR	45	1992	46	0
COGR	45	1992	79	0
COGR	45	1996	76	0
COGR	7	1992	49	0
COGR	40	1993	55	0
COGR	45	1992	45	0
COGR	44	1993	64	0
COGR	44	1992	51	0
COGR	45	1992	55	0
COGR	45	1993	68	0
COGR	45	1992	42	0
COGR	45	1992	40	0
COGR	45	1992	42	0
COGR	41	1993	34	0
COGR	G1	1994	52	0
COGR	G1	1994	65	0
COGR	G1	1994	66	0
COGR	40	1993	69	0
COYE	C3	1995	80	0
COYE	BF1	1996	71	0
DICK	B5	1992	47	0
DICK	G1	1996	49	1
DICK	G1	1996	51	0
DICK	B4	1992	51	0
DICK	B3	1994	52	0
DICK	G1	1996	53	0
DICK	B4	1992	53	1
DICK	G2	1994	56	0
DICK	G3	1994	57	0
DICK	G1	1994	57	0
DICK	G2	1994	57	0
DICK	B5	1994	58	0
DICK	B4	1992	58	0
DICK	G1	1996	60	0
DICK	B7	1992	60	0
DICK	B4	1995	61	0
DICK	G1	1994	61	1
DICK	G1	1996	62	0
DICK	B3	1995	62	1
DICK	B3	1995	62	1
DICK	B4	1992	63	1
DICK	B4	1995	64	0
DICK	B4	1995	65	0
DICK	B5	1995	66	0
DICK	B6	1996	67	0
DICK	B7	1996	67	0
DICK	G1	1996	68	0
DICK	B5	1994	68	0
DICK	B5	1992	68	1
DICK	BF2	1996	68	0
DICK	G1	1995	69	0
DICK	B9	1994	71	0
DICK	B5	1994	71	1
DICK	B4	1995	72	0
DICK	BF2	1996	72	0
DICK	BF3	1994	72	0
DICK	B7	1992	73	1
DICK	B5	1995	76	1
DICK	G1	1996	76	0
DICK	B3	1995	76	1
DICK	B3	1995	76	0
DICK	B6	1992	77	1
DICK	B5	1995	80	1
DICK	BF2	1996	81	0
DICK	G1	1994	87	0
DICK	G1	1995	89	0
DICK	G2	1993	90	0
DICK	B2	1995	91	0
DICK	G1	1996	92	1
DICK	G1	1995	92	0
DICK	G1	1996	95	0
DICK	B4	1994	97	0
DICK	G1	1994	98	0
DICK	B6	1996	55	1
DICK	B3	1996	59	1
DICK	B9	1994	64	0
DICK	B6	1995	75	0
DICK	G1	1995	76	0
DICK	G1	1995	98	0
DICK	B5	1996	53	0
DICK	BF3	1996	56	0
DICK	B6	1995	57	0
DICK	G1	1996	60	0
DICK	B3	1996	60	0
DICK	B5	1996	63	1
DICK	B7	1996	67	0
DICK	B4	1995	68	0
DICK	B7	1996	70	0
DICK	G2	1995	71	0
DICK	G1	1995	72	1
DICK	G1	1996	73	0
DICK	G2	1995	73	0
DICK	G2	1995	82	0
DICK	B8	1994	97	0
DICK	G3	1995	97	0
DICK	B4	1996	51	0
DICK	B3	1996	58	0
DICK	B7	1996	58	0
DICK	B8	1995	62	0
DICK	B4	1994	75	0
DICK	BF2	1996	75	0
DICK	G2	1996	92	0
DICK	B1	1995	96	0
DICK	B2	1995	97	0
DICK	B4	1996	48	0
DICK	B6	1996	52	0
DICK	G3	1994	53	0
DICK	B3	1996	53	0
DICK	B9	1993	57	1
DICK	C1	1996	57	0
DICK	B9	1994	58	0
DICK	B3	1994	59	0
DICK	G2	1996	60	0
DICK	B6	1996	62	0
DICK	B9	1996	63	0
DICK	B5	1996	64	1
DICK	B5	1996	64	0
DICK	B2	1995	67	0
DICK	B5	1996	69	0
DICK	B5	1995	71	1
DICK	G3	1996	71	0
DICK	B5	1995	76	1
DICK	B6	1995	76	0
DICK	B5	1995	87	0
DICK	BF3	1996	99	1
DICK	C2	1996	102	0
DICK	B2	1995	110	0
DICK	B3	1996	53	0
DICK	B3	1996	54	0
DICK	B3	1994	56	0
DICK	G2	1994	57	0
DICK	G3	1994	58	0
DICK	B4	1996	58	0
