Site	Mid_line_Diameter 	MD_um	Petiole_Diameter 		Beaver
1	118.51	11851	6.47		N
1	87.59	8759	5.74		N
1	95.94	9594	5.76		N
1	98.86	9886	5.48		N
1	99.08	9908	6.53		N
1	78.87	7887	4.3		N
1	96.84	9684	5.93		N
1	109.25	10925	5.72		N
1	109.07	10907	5.74		N
1	87.18	8718	5.11		N
1	89.91	8991	5.19		N
1	83.41	8341	4.74		N
1	113.6	11360	6.16		N
1	96.85	9685	5.6		N
1	77.33	7733	5.04		N
2	57.52	5752	2.87		N
2	205	20500	8.74		N
2	200	20000	8.2		N
2	179	17900	7.61		N
2	82.36	8236	3.25		N
2	99.28	9928	5.32		N
2	135.3	13530	6.6		N
2	131.78	13178	6.26		N
2	192	19200	8.11		N
2	150.45	15045	6.93		N
2	156	15600	8.14		N
2	137.1	13710	6.4		N
2	125.27	12527	6.3		N
2	67.79	6779	3.85		N
2	73.36	7336	3.46		N
2	68.97	6897	3.51		N
2	73.53	7353	3.53		N
2	107.45	10745	5.23		N
2	120.95	12095	6.34		N
2	132.67	13267	6.45		N
3	147.75	14775	6.8		N
3	120.99	12099	6.88		N
3	66.19	6619	3.67		N
3	99.4	9940	4.56		N
3	97.33	9733	5.01		N
3	151.61	15161	6.27		N
3	132.39	13239	6.27		N
3	91.49	9149	5.15		N
3	81.13	8113	3.9		N
3	174	17400	7.69		N
3	118.8	11880	6.51		N
3	215	21500	9.34		N
3	97.98	9798	4.69		N
3	90.19	9019	3.05		N
3	171	17100	7.53		N
3	134.83	13483	5.78		N
3	94.84	9484	5.3		N
3	61.82	6182	3.81		N
3	61.96	6196	3.53		N
4	157.9	15790	7.51		N
4	63.57	6357	3.93		N
4	130.98	13098	6.55		N
4	116.7	11670	6.57		N
4	97.39	9739	5.23		N
4	116.75	11675	5.75		N
4	120.41	12041	6.7		N
4	136.04	13604	5.95		N
4	124.27	12427	5.47		N
4	101.48	10148	5.16		N
4	165	16500	8.79		N
4	131.79	13179	6.31		N
4	131.28	13128	7.92		N
4	67	6700	3.91		N
4	124.16	12416	6.04		N
4	134.21	13421	6.48		N
4	79.2	7920	4.27		N
4	135.32	13532	7.07		N
4	140.85	14085	7.5		N
4	87.94	8794	4.71		N
4	161	16100	7.15		N
4	156.92	15692	6.99		N
4	131.52	13152	6.99		N
4	165	16500	7.74		N
4	134.59	13459	6.92		N
4	137.18	13718	7.25		N
4	117.97	11797	6.86		N
4	170	17000	7.47		N
4	165	16500	8.84		N
4	124.86	12486	7.12		N
4	112.27	11227	7.01		N
4	113.47	11347	5.92		N
4	144	14400	8.01		N
4	137	13700	7.47		N
5	34.4	3440	1.59		N
5	107.62	10762	4.86		N
5	88.73	8873	3.97		N
5	101.27	10127	4.27		N
5	130.8	13080	5.9		N
5	93.35	9335	4.35		N
5	173	17300	8.36		N
5	103.14	10314	5.09		N
5	60.5	6050	3.64		N
5	100.49	10049	4.69		N
5	37.57	3757	2.09		N
5	50.46	5046	2.76		N
5	106.56	10656	5.5		N
5	103	10300	5.45		N
5	62.86	6286	3.38		N
5	53.48	5348	3.17		N
5	45.75	4575	2.48		N
5	107.64	10764	5.32		N
5	122.16	12216	6.19		N
5	133.34	13334	6.95		N
5	153.89	15389	6.49		N
6	122.7	12270	6.41		N
6	123.57	12357	5.75		N
6	138.91	13891	6.19		N
6	152	15200	7.64		N
6	173	17300	7.43		N
6	60.22	6022	3.19		N
6	90.53	9053	4.56		N
6	61.55	6155	2.83		N
6	45.85	4585	2.23		N
6	86.07	8607	4.25		N
6	131.15	13115	6.29		N
6	92.21	9221	4.37		N
6	112.5	11250	6.05		N
6	54.27	5427	2.96		N
6	59.72	5972	3.38		N
6	210	21000	8.91		N
6	49.01	4901	2.03		N
6	73.33	7333	3.74		N
6	195	19500	7.79		N
6	203	20300	9		N
7	97.22	9722	6.52		N
7	164	16400	7.49		N
7	65.47	6547	3.49		N
7	183	18300	7.16		N
7	103.06	10306	4.85		N
7	54.67	5467	3.56		N
7	55	5500	4.04		N
7	84.09	8409	4.6		N
7	123.81	12381	6.18		N
7	168	16800	8.46		N
7	175	17500	8.72		N
7	74.68	7468	4.56		N
7	57.56	5756	3.47		N
7	84.53	8453	4.67		N
7	62.51	6251	4.35		N
7	56.13	5613	3.81		N
7	130.39	13039	6.23		N
7	176	17600	7		N
7	151.96	15196	7.38		N
7	128.58	12858	6.49		N
8	125.51	12551	6.58		N
8	142.91	14291	6.93		N
8	120.78	12078	7.23		N
8	54.62	5462	3.46		N
8	101.54	10154	5.79		N
8	61.09	6109	3.74		N
8	91.37	9137	5.37		N
8	60.57	6057	3.57		N
8	68.57	6857	4.7		N
8	122.09	12209	6.31		N
8	131.2	13120	6.27		N
8	132	13200	5.51		N
8	162	16200	6.93		N
8	175	17500	7.86		N
8	70.51	7051	4		N
8	127.11	12711	7.8		N
8	75.97	7597	4.21		N
8	63.69	6369	4.62		N
8	46.32	4632	3.64		N
8	74.47	7447	4.3		N
8	74.84	7484	4.52		N
8	53.45	5345	4.18		N
