Species	Colony	Population	PreySizemm	PreySizeClass	Capture	TotalNumberRespondents	TotalNumberofSpidersThatAttackedPrey
A.baeza	b101_2010	4	4	small 	1	4	3
A.baeza	b101_2010	4	8.67	medium	0	0	0
A.baeza	b101_2010	4	14	large	0	1	1
A.baeza	b28_2010	14	3	small 	1	9	7
A.baeza	b28_2010	14	8	medium	0	4	4
A.baeza	b28_2010	14	14	large	0	5	2
A.baeza	b38_2010	23	4	small 	1	2	2
A.baeza	b38_2010	23	8	medium	1	11	5
A.baeza	b38_2010	23	12	large	0	4	4
A.baeza	b4_2010	15	3	small 	1	4	4
A.baeza	b4_2010	15	9	medium	1	4	4
A.baeza	b4_2010	15	14	large	1	15	15
A.baeza	b45_2009	8	3	small	1	2	2
A.baeza	b45_2009	8	8	medium	1	7	6
A.baeza	b45_2009	8	15	large	1	1	1
A.baeza	b49_2009	18	3	small	1	18	18
A.baeza	b49_2009	18	9	medium	1	6	6
A.baeza	b49_2009	18	16	large	1	10	10
A.baeza	b50_2009	19	4.5	small	1	12	12
A.baeza	b50_2009	19	8	medium	1	12	5
A.baeza	b50_2009	19	13	large	1	13	13
A.baeza	b51_2009	8	4	small	1	2	2
A.baeza	b51_2009	8	9	medium	1	8	7
A.baeza	b51_2009	8	16	large	1	8	8
A.baeza	b59_2009	3	4	small	1	2	2
A.baeza	b59_2009	3	8	medium	1	2	2
A.baeza	b59_2009	3	14	large	0	2	1
A.baeza	b6_2010	3	3.92	small 	1	2	1
A.baeza	b6_2010	3	8	medium	0	3	1
A.baeza	b6_2010	3	14	large	0	1	1
A.baeza	b68_2009	3	3.88	small	0	0	0
A.baeza	b68_2009	3	9	medium	1	2	2
A.baeza	b68_2009	3	16	large	1	2	2
A.baeza	b71_2010	4	5	small 	1	1	1
A.baeza	b71_2010	4	8	medium	0	2	2
A.baeza	b71_2010	4	13	large	0	2	1
A.baeza	b76_2010	9	3	small 	1	4	2
A.baeza	b76_2010	9	8	medium	0	5	3
A.baeza	b76_2010	9	14	large	0	2	2
A.dubiosus	d1_2010	6	4	small	1	4	4
A.dubiosus	d1_2010	6	6.33	medium	0	0	0
A.dubiosus	d1_2010	6	14.33	large	0	2	0
A.dubiosus	d10_2009	8	4	small	0	4	4
A.dubiosus	d10_2009	8	8	medium	1	5	5
A.dubiosus	d10_2009	8	12	large	0	5	3
A.dubiosus	d11_2010	18	3.33	small	0	0	0
A.dubiosus	d11_2010	18	7	medium	1	10	2
A.dubiosus	d11_2010	18	17	large	0	10	4
A.dubiosus	d12_2010	25	4	small	1	2	2
A.dubiosus	d12_2010	25	7.33	medium	0	6	0
A.dubiosus	d12_2010	25	14.67	large	0	6	1
A.dubiosus	d13_2010	4	4	small	1	2	2
A.dubiosus	d13_2010	4	7.33	medium	0	0	0
A.dubiosus	d13_2010	4	14.33	large	0	0	0
A.dubiosus	d14_2010	47	4	small	0	0	0
A.dubiosus	d14_2010	47	9	medium	0	10	0
A.dubiosus	d14_2010	47	17	large	0	2	2
A.dubiosus	d15_2010	5	4	small	0	1	0
A.dubiosus	d15_2010	5	8	medium	0	1	1
A.dubiosus	d15_2010	5	15.67	large	0	0	0
A.dubiosus	d16_2010	15	4	small	1	14	4
A.dubiosus	d16_2010	15	6	medium	1	6	4
A.dubiosus	d16_2010	15	15	large	0	15	1
A.dubiosus	d17_2010	3	4	small	1	1	1
A.dubiosus	d17_2010	3	7.33	medium	0	0	0
A.dubiosus	d17_2010	3	15	large	0	0	0
A.dubiosus	d18_2010	19	3	small	1	4	1
A.dubiosus	d18_2010	19	6	medium	1	12	12
A.dubiosus	d18_2010	19	13	large	0	2	1
A.dubiosus	d18a_2010	14	3	small	1	11	5
A.dubiosus	d18a_2010	14	6	medium	0	5	3
A.dubiosus	d18a_2010	14	16	large	0	2	2
A.dubiosus	d19_2010	6	3	small	0	1	1
A.dubiosus	d19_2010	6	8	medium	1	3	3
A.dubiosus	d19_2010	6	14	large	0	4	1
A.jabaquara	d20_2009	3	3	small	1	1	1
A.jabaquara	d20_2009	3	8	medium	0	2	2
A.jabaquara	d20_2009	3	15	large	0	3	2
A.dubiosus	d22_2010	4	3	small	1	3	3
A.dubiosus	d22_2010	4	8	medium	0	1	1
A.dubiosus	d22_2010	4	14	large	0	2	1
A.dubiosus	d23_2010	10	3	small	1	1	1
A.dubiosus	d23_2010	10	8	medium	0	8	6
A.dubiosus	d23_2010	10	15	large	0	3	1
A.dubiosus	d29_2009	63	4	small	1	12	12
A.dubiosus	d29_2009	63	8	medium	1	14	11
A.dubiosus	d29_2009	63	18	large	1	14	14
A.dubiosus	d3_2010	2	4	small	0	0	0
A.dubiosus	d3_2010	2	12	medium	0	1	1
A.dubiosus	d3_2010	2	13.33	large	0	2	0
A.dubiosus	d30_2009	17	4.5	small	0	2	2
A.dubiosus	d30_2009	17	8	medium	0	1	0
A.dubiosus	d30_2009	17	12	large	1	3	3
A.dubiosus	d37_2009	8	3	small	1	7	4
A.dubiosus	d37_2009	8	8	medium	0	1	0
A.dubiosus	d37_2009	8	12	large	0	5	3
A.dubiosus	d4_2010	3	4	small	1	2	1
A.dubiosus	d4_2010	3	7	medium	0	2	1
A.dubiosus	d4_2010	3	13	large	1	2	2
A.dubiosus	d41_2009	13	4	small	1	3	3
A.dubiosus	d41_2009	13	8	medium	1	5	3
A.dubiosus	d41_2009	13	14	large	1	8	3
A.dubiosus	d5_2010	5	5	small	1	4	4
A.dubiosus	d5_2010	5	8	medium	0	3	1
A.dubiosus	d5_2010	5	11	large	0	1	1
A.dubiosus	d6_2010	8	5	small	1	3	3
A.dubiosus	d6_2010	8	8	medium	0	5	1
A.dubiosus	d6_2010	8	12	large	1	7	7
A.dubiosus	d7_2010	19	5	small	0	3	0
A.dubiosus	d7_2010	19	7	medium	0	8	2
A.dubiosus	d7_2010	19	14	large	0	10	6
A.dubiosus	d8_2009	10	4	small	0	2	2
A.dubiosus	d8_2009	10	10	medium	0	4	4
A.dubiosus	d8_2009	10	13	large	0	2	2
A.dubiosus	d8_2010	7	5	small	1	2	1
A.dubiosus	d8_2010	7	8	medium	0	7	3
A.dubiosus	d8_2010	7	13	large	0	2	1
A.dubiosus	d9_2010	18	5	small	1	12	6
A.dubiosus	d9_2010	18	8	medium	1	5	3
A.dubiosus	d9_2010	18	17	large	1	5	3
A.dubiosus	dx_2009	10	3	small	1	10	2
A.dubiosus	dx_2009	10	8	medium	0	1	1
A.dubiosus	dx_2009	10	17	large	0	7	4
A.jabaquara	j101_2010	20	5	small	1	2	1
A.jabaquara	j101_2010	20	8	medium	1	13	3
A.jabaquara	j101_2010	20	12	large	1	10	7
A.jabaquara	j102_2010	4	3	small	1	2	2
A.jabaquara	j102_2010	4	7	medium	0	3	0
A.jabaquara	j102_2010	4	15.33	large	0	2	0
A.jabaquara	j103_2010	12	5	small	0	2	1
A.jabaquara	j103_2010	12	8	medium	0	3	0
A.jabaquara	j103_2010	12	12	large	1	8	5
A.jabaquara	j126_2009	6	4	small	1	5	5
A.jabaquara	j126_2009	6	8	medium	0	0	0
A.jabaquara	j126_2009	6	12	large	0	1	1
A.jabaquara	j143_2009	5	4	small	1	3	1
A.jabaquara	j143_2009	5	10	medium	0	2	2
A.jabaquara	j143_2009	5	14	large	1	3	2
A.jabaquara	j145_2009	12	4	small	0	1	1
A.jabaquara	j145_2009	12	10	medium	0	3	1
A.jabaquara	j145_2009	12	14	large	0	2	2
A.jabaquara	j146_2009	47	3.88	small	0	11	0
A.jabaquara	j146_2009	47	8	medium	1	3	3
A.jabaquara	j146_2009	47	20	large	0	6	6
A.jabaquara	j147_2009	5	4	small	0	1	1
A.jabaquara	j147_2009	5	7	medium	1	2	2
A.jabaquara	j147_2009	5	14	large	0	2	0
A.jabaquara	j21_2010	28	3	small	1	2	1
A.jabaquara	j21_2010	28	6	medium	0	15	11
A.jabaquara	j21_2010	28	12	large	1	7	7
A.baeza	j25_2009	2	3	small	1	1	1
A.baeza	j25_2009	2	7	medium	1	2	1
