Nr	ID	Orig	Pair	Site	Bed	Soil	Alt	LL09a	BMtL10mg	BMS10mg	H10f	tBB10d	tSB10d	dB10d
1	ID1	O1200m	Sach	Chla	bed01	sol	600m	0.9	219.1	0	0	NA	NA	0
2	ID2	O1800m	Flue	Chla	bed01	sol	600m	1.1	136.4	274.5	3	162	176	14
3	ID3	O1200m	Luts	Chla	bed01	sol	600m	0.8	1002.2	198	1	NA	NA	NA
4	ID4	O1800m	Bex	Chla	bed01	sol	600m	0.9	550.8	1463.1	8	138	162	24
5	ID5	O1200m	Flue	Chla	bed01	sol	600m	1.3	500.5	2725.8	16	138	162	24
6	ID6	O1800m	Frut	Chla	bed01	sol	600m	1.4	1803	1767.2	8	162	162	0
7	ID7	O1200m	Lumn	Chla	bed01	sol	600m	0.4	27.1	0	0	NA	NA	0
8	ID8	O1800m	Hein	Chla	bed01	sol	600m	0.8	160.4	324.7	6	138	146	8
9	ID9	O1200m	Brie	Chla	bed01	sol	600m	1.4	360.5	2144.2	13	154	170	16
10	ID10	O1800m	Ober	Chla	bed01	sol	600m	1.7	667.2	1318.6	7	138	162	24
11	ID11	O1200m	Reic	Chla	bed01	sol	600m	0.9	71.4	315.5	6	146	162	16
12	ID12	O1800m	Vatt	Chla	bed01	sol	600m	0.7	391.7	0	0	NA	NA	0
13	ID13	O1200m	Frut	Chla	bed01	sol	600m	1.7	227.3	205	4	138	154	16
14	ID14	O1800m	Reic	Chla	bed01	sol	600m	0.7	981.7	66.9	1	138	162	24
15	ID15	O1200m	Ober	Chla	bed01	sol	600m	2.1	1111.9	2224.9	19	138	162	24
16	ID16	O1800m	Luts	Chla	bed01	sol	600m	0.4	112	0	0	NA	NA	0
17	ID17	O1200m	Bex	Chla	bed01	sol	600m	1.3	469.8	3707	14	138	162	24
18	ID18	O1800m	Sach	Chla	bed01	sol	600m	0.7	278.1	1372.6	7	138	162	24
19	ID19	O1200m	Chat	Chla	bed01	sol	600m	0.9	739.1	802.4	5	146	162	16
20	ID20	O1800m	Lumn	Chla	bed01	sol	600m	0.5	272.3	0	0	NA	NA	0
21	ID21	O1200m	Hein	Chla	bed01	sol	600m	0.5	196.8	0	0	154	NA	0
22	ID22	O1800m	Hasl	Chla	bed01	sol	600m	1.6	586.6	904.4	4	146	162	16
23	ID23	O1200m	Lenk	Chla	bed01	sol	600m	0.6	133.2	0	0	NA	NA	0
24	ID24	O1800m	Chat	Chla	bed01	sol	600m	1	99.7	0	0	154	NA	0
25	ID25	O1200m	Vatt	Chla	bed01	sol	600m	0.3	30.3	0	0	NA	NA	0
26	ID26	O1800m	Lenk	Chla	bed01	sol	600m	1	260.1	315.2	2	162	192	30
27	ID27	O1200m	Hasl	Chla	bed01	sol	600m	0.4	182.1	0	0	NA	NA	0
28	ID28	O1800m	Brie	Chla	bed01	sol	600m	1.1	289.6	719.2	6	146	162	16
29	ID29	O1200m	Luts	Chla	bed02	sol	600m	0.7	413.9	952.1	5	146	162	16
30	ID30	O1800m	Vatt	Chla	bed02	sol	600m	0.5	66.6	0	0	154	NA	0
31	ID31	O1200m	Lumn	Chla	bed02	sol	600m	0.3	189.2	0	0	NA	NA	0
32	ID32	O1800m	Ober	Chla	bed02	sol	600m	1.8	507.7	1587.6	5	146	162	16
33	ID33	O1200m	Frut	Chla	bed02	sol	600m	1.6	NA	NA	NA	154	154	0
34	ID34	O1800m	Flue	Chla	bed02	sol	600m	0.8	207	1699.4	7	146	162	16
35	ID35	O1200m	Flue	Chla	bed02	sol	600m	0.6	38.8	0	0	NA	NA	0
36	ID36	O1800m	Luts	Chla	bed02	sol	600m	0.8	103.5	0	0	NA	NA	0
37	ID37	O1200m	Chat	Chla	bed02	sol	600m	1	1033.9	6139.4	9	146	162	16
38	ID38	O1800m	Bex	Chla	bed02	sol	600m	1.3	228.9	1488.1	8	146	162	16
39	ID39	O1200m	Ober	Chla	bed02	sol	600m	1	76.1	1247.5	10	138	162	24
40	ID40	O1800m	Sach	Chla	bed02	sol	600m	0.6	220.8	0	0	154	154	0
41	ID41	O1200m	Reic	Chla	bed02	sol	600m	0.8	31.9	0	0	154	NA	0
42	ID42	O1800m	Hein	Chla	bed02	sol	600m	0.6	65.7	0	0	NA	NA	0
43	ID43	O1200m	Sach	Chla	bed02	sol	600m	0.8	122.4	0	0	NA	NA	0
44	ID44	O1800m	Hasl	Chla	bed02	sol	600m	1.1	481.1	199.3	1	154	192	38
45	ID45	O1200m	Bex	Chla	bed02	sol	600m	1.2	493.8	2359.4	7	138	162	24
46	ID46	O1800m	Frut	Chla	bed02	sol	600m	2.1	999.3	1982	8	138	146	8
47	ID47	O1200m	Vatt	Chla	bed02	sol	600m	0.5	240.5	0	0	NA	NA	0
48	ID48	O1800m	Reic	Chla	bed02	sol	600m	0.9	217.4	0	0	NA	NA	0
49	ID49	O1200m	Brie	Chla	bed02	sol	600m	1.7	990.5	9729.6	50	138	162	24
50	ID50	O1800m	Lumn	Chla	bed02	sol	600m	0.4	3.6	0	0	NA	NA	0
51	ID51	O1200m	Hein	Chla	bed02	sol	600m	0.7	336.7	225	3	138	162	24
52	ID52	O1800m	Chat	Chla	bed02	sol	600m	0.8	NA	NA	NA	NA	NA	NA
53	ID53	O1200m	Hasl	Chla	bed02	sol	600m	0.7	553.3	825	3	146	162	16
54	ID54	O1800m	Lenk	Chla	bed02	sol	600m	1	472.7	172.6	2	138	154	16
55	ID55	O1200m	Lenk	Chla	bed02	sol	600m	0.6	35.3	0	0	NA	NA	0
56	ID56	O1800m	Brie	Chla	bed02	sol	600m	1.2	465.3	6166.3	23	146	162	16
57	ID57	O1200m	Sach	Chla	bed03	gra	600m	0.9	NA	NA	NA	NA	NA	NA
58	ID58	O1800m	Flue	Chla	bed03	gra	600m	1.3	166.1	0	0	154	NA	0
59	ID59	O1200m	Luts	Chla	bed03	gra	600m	0.8	351.4	0	0	NA	NA	0
60	ID60	O1800m	Bex	Chla	bed03	gra	600m	0.6	101.9	114	1	154	192	38
61	ID61	O1200m	Flue	Chla	bed03	gra	600m	1.5	5.9	0	0	154	NA	0
62	ID62	O1800m	Frut	Chla	bed03	gra	600m	1.3	13.7	0	0	154	NA	0
63	ID63	O1200m	Lumn	Chla	bed03	gra	600m	0.4	134.9	0	0	NA	NA	0
64	ID64	O1800m	Hein	Chla	bed03	gra	600m	1.7	162.4	774.5	6	138	154	16
65	ID65	O1200m	Brie	Chla	bed03	gra	600m	1.1	337.5	2460.9	14	146	192	46
66	ID66	O1800m	Ober	Chla	bed03	gra	600m	1.6	1083.6	1986.6	14	138	162	24
67	ID67	O1200m	Reic	Chla	bed03	gra	600m	0.7	114.1	139.2	2	146	170	24
68	ID68	O1800m	Vatt	Chla	bed03	gra	600m	0.8	638.4	0	0	NA	NA	0
69	ID69	O1200m	Frut	Chla	bed03	gra	600m	1.3	563.4	1314.7	11	138	154	16
70	ID70	O1800m	Reic	Chla	bed03	gra	600m	0.7	151	167.7	3	138	162	24
71	ID71	O1200m	Ober	Chla	bed03	gra	600m	2.9	202.2	486.1	4	138	162	24
72	ID72	O1800m	Luts	Chla	bed03	gra	600m	0.5	NA	NA	NA	NA	NA	NA
73	ID73	O1200m	Bex	Chla	bed03	gra	600m	1.5	445.3	586	5	138	162	24
74	ID74	O1800m	Sach	Chla	bed03	gra	600m	0.8	100.5	0	0	154	NA	0
75	ID75	O1200m	Chat	Chla	bed03	gra	600m	0.9	671.1	1555	8	146	162	16
76	ID76	O1800m	Lumn	Chla	bed03	gra	600m	0.4	85.6	0	0	NA	NA	0
77	ID77	O1200m	Hein	Chla	bed03	gra	600m	0.4	142	262.1	4	138	162	24
78	ID78	O1800m	Hasl	Chla	bed03	gra	600m	1.3	218.6	819.7	5	138	162	24
79	ID79	O1200m	Lenk	Chla	bed03	gra	600m	0.6	NA	NA	NA	NA	NA	NA
80	ID80	O1800m	Chat	Chla	bed03	gra	600m	1.3	329.5	516	3	138	162	24
81	ID81	O1200m	Vatt	Chla	bed03	gra	600m	0.2	135.3	0	0	NA	NA	0
82	ID82	O1800m	Lenk	Chla	bed03	gra	600m	1.1	57.8	0	0	NA	NA	0
83	ID83	O1200m	Hasl	Chla	bed03	gra	600m	0.4	125.7	63.6	1	162	NA	NA
84	ID84	O1800m	Brie	Chla	bed03	gra	600m	1.1	329	8627.3	26	146	162	16
85	ID85	O1200m	Luts	Chla	bed04	gra	600m	0.6	1889.6	662.8	3	146	162	16
86	ID86	O1800m	Vatt	Chla	bed04	gra	600m	0.5	636.5	204.1	2	138	162	24
87	ID87	O1200m	Lumn	Chla	bed04	gra	600m	0.5	208.9	0	0	NA	NA	0
88	ID88	O1800m	Ober	Chla	bed04	gra	600m	2.7	448.7	994.3	4	146	162	16
