Site	City	Type	Month	All_taxa	Coleoptera	Diptera	Syrphidae	Hymenoptera	Lepidoptera	Bees	Bumblebees	Solitary_bees	Floral_unit_abundance
Bristol_farmland	Bristol	farmland	June	35	3	24	6	2	7	6	3	2	395
Bristol_farmland	Bristol	farmland	July	28	3	15	9	1	8	9	4	4	284
Bristol_farmland	Bristol	farmland	August	19	0	13	6	0	5	4	1	3	23
Bristol_farmland	Bristol	farmland	September	16	0	13	3	0	6	2	1	1	13
Bristol_nature_reserve	Bristol	naturereserve	June	21	6	7	5	3	3	3	2	0	102
Bristol_nature_reserve	Bristol	naturereserve	July	20	2	9	5	4	6	5	4	0	182
Bristol_nature_reserve	Bristol	naturereserve	August	27	0	16	10	1	6	6	2	3	18
Bristol_nature_reserve	Bristol	naturereserve	September	3	0	2	1	0	1	1	0	1	5
Bristol_urban	Bristol	urban	June	18	2	8	8	0	4	7	2	4	574
Bristol_urban	Bristol	urban	July	20	0	10	10	0	5	7	2	4	303
Bristol_urban	Bristol	urban	August	15	0	6	9	0	3	8	4	3	306
Bristol_urban	Bristol	urban	September	14	0	10	4	0	7	3	2	0	131
Cardiff_farmland	Cardiff	farmland	June	49	7	33	6	3	13	5	3	1	721
Cardiff_farmland	Cardiff	farmland	July	25	2	16	7	0	6	6	3	2	377
Cardiff_farmland	Cardiff	farmland	August	39	2	30	7	0	14	5	4	0	902
Cardiff_farmland	Cardiff	farmland	September	18	1	14	2	1	9	2	1	1	21
Cardiff_nature_reserve	Cardiff	naturereserve	June	27	1	19	7	0	8	7	4	2	377
Cardiff_nature_reserve	Cardiff	naturereserve	July	28	2	19	6	1	10	6	4	1	519
Cardiff_nature_reserve	Cardiff	naturereserve	August	19	1	13	4	1	6	3	2	0	581
Cardiff_nature_reserve	Cardiff	naturereserve	September	19	1	15	3	0	9	3	2	1	123
Cardiff_urban	Cardiff	urban	June	15	3	5	7	0	3	6	3	3	169
Cardiff_urban	Cardiff	urban	July	9	0	4	5	0	3	4	3	1	135
Cardiff_urban	Cardiff	urban	August	26	0	17	9	0	4	6	4	1	102
Cardiff_urban	Cardiff	urban	September	10	0	7	3	0	2	2	1	1	67
Dundee_farmland	Dundee	farmland	June	44	6	26	9	3	5	7	5	2	1633
Dundee_farmland	Dundee	farmland	July	29	1	27	1	0	6	1	1	0	510
Dundee_farmland	Dundee	farmland	August	15	0	14	1	0	1	1	1	0	313
Dundee_farmland	Dundee	farmland	September	14	0	13	1	0	8	0	0	0	77
Dundee_nature_reserve	Dundee	naturereserve	June	31	3	19	8	1	6	6	4	2	3940
Dundee_nature_reserve	Dundee	naturereserve	July	45	4	35	5	1	4	4	4	0	5930
Dundee_nature_reserve	Dundee	naturereserve	August	37	1	31	3	2	13	2	2	0	424
Dundee_nature_reserve	Dundee	naturereserve	September	11	2	9	0	0	6	0	0	0	213
Dundee_urban	Dundee	urban	June	20	3	8	7	2	0	4	4	1	214
Dundee_urban	Dundee	urban	July	8	0	5	3	0	0	2	2	0	176
Dundee_urban	Dundee	urban	August	19	0	14	5	0	8	3	2	0	206
Dundee_urban	Dundee	urban	September	14	0	10	4	0	6	4	2	1	420
Edinburgh_farmland	Edinburgh	farmland	June	17	1	13	3	0	2	1	1	0	830
Edinburgh_farmland	Edinburgh	farmland	July	16	1	14	1	0	2	0	0	0	923
Edinburgh_farmland	Edinburgh	farmland	August	2	0	1	1	0	1	1	1	0	915
Edinburgh_farmland	Edinburgh	farmland	September	0	0	0	0	0	0	0	0	0	306
Edinburgh_nature_reserve	Edinburgh	naturereserve	June	39	5	25	6	3	5	4	4	0	2813
Edinburgh_nature_reserve	Edinburgh	naturereserve	July	6	0	4	2	0	1	1	1	0	1487
Edinburgh_nature_reserve	Edinburgh	naturereserve	August	25	1	23	1	0	9	1	1	0	212
Edinburgh_nature_reserve	Edinburgh	naturereserve	September	2	1	1	0	0	1	0	0	0	9
