Site	City	Type	Month	All_taxa	Coleoptera	Diptera	Syrphidae	Hymenoptera	Lepidoptera	Bees	Honeybees	Bumblebees	Solitary_bees	Floral_unit_abundance
Bristol_farmland	Bristol	farmland	June	106	5	74	23	4	18	23	14	6	3	395
Bristol_farmland	Bristol	farmland	July	109	12	57	39	1	19	39	19	11	9	284
Bristol_farmland	Bristol	farmland	August	47	0	36	11	0	5	8	0	3	5	23
Bristol_farmland	Bristol	farmland	September	40	0	36	4	0	13	3	0	1	2	13
Bristol_nature_reserve	Bristol	naturereserve	June	41	9	14	9	9	8	7	4	3	0	102
Bristol_nature_reserve	Bristol	naturereserve	July	42	5	17	11	9	11	11	3	8	0	182
Bristol_nature_reserve	Bristol	naturereserve	August	65	0	36	28	1	6	20	3	8	9	18
Bristol_nature_reserve	Bristol	naturereserve	September	4	0	2	2	0	1	2	0	0	2	5
Bristol_urban	Bristol	urban	June	30	2	14	14	0	8	13	3	2	8	574
Bristol_urban	Bristol	urban	July	46	0	11	35	0	6	31	8	10	13	303
Bristol_urban	Bristol	urban	August	80	0	7	73	0	4	72	36	31	5	306
Bristol_urban	Bristol	urban	September	55	0	16	39	0	12	38	29	9	0	131
Cardiff_farmland	Cardiff	farmland	June	161	11	128	17	5	38	15	5	9	1	721
Cardiff_farmland	Cardiff	farmland	July	72	7	53	12	0	15	11	4	5	2	377
Cardiff_farmland	Cardiff	farmland	August	209	2	186	21	0	45	18	8	10	0	902
Cardiff_farmland	Cardiff	farmland	September	79	1	73	4	1	26	4	0	3	1	21
Cardiff_nature_reserve	Cardiff	naturereserve	June	45	2	26	17	0	11	17	7	8	2	377
Cardiff_nature_reserve	Cardiff	naturereserve	July	97	15	56	25	1	13	25	17	4	4	519
Cardiff_nature_reserve	Cardiff	naturereserve	August	79	1	55	22	1	10	21	11	10	0	581
Cardiff_nature_reserve	Cardiff	naturereserve	September	60	1	51	8	0	34	8	0	7	1	123
Cardiff_urban	Cardiff	urban	June	25	4	9	12	0	4	11	0	7	4	169
Cardiff_urban	Cardiff	urban	July	12	0	5	7	0	4	6	0	5	1	135
Cardiff_urban	Cardiff	urban	August	135	0	43	92	0	4	8	1	6	1	102
Cardiff_urban	Cardiff	urban	September	17	0	12	5	0	3	4	0	3	1	67
Dundee_farmland	Dundee	farmland	June	140	11	73	43	13	23	38	0	36	2	1633
Dundee_farmland	Dundee	farmland	July	69	1	67	1	0	6	1	0	1	0	510
Dundee_farmland	Dundee	farmland	August	89	0	88	1	0	72	1	0	1	0	313
Dundee_farmland	Dundee	farmland	September	51	0	50	1	0	43	0	0	0	0	77
Dundee_nature_reserve	Dundee	naturereserve	June	90	4	73	12	1	7	10	0	8	2	3940
Dundee_nature_reserve	Dundee	naturereserve	July	116	6	102	7	1	9	5	0	5	0	5930
Dundee_nature_reserve	Dundee	naturereserve	August	144	1	137	4	2	82	2	0	2	0	424
Dundee_nature_reserve	Dundee	naturereserve	September	25	4	21	0	0	18	0	0	0	0	213
Dundee_urban	Dundee	urban	June	52	6	15	17	14	0	13	0	13	0	214
Dundee_urban	Dundee	urban	July	14	0	9	5	0	0	4	0	4	0	176
Dundee_urban	Dundee	urban	August	103	0	92	11	0	60	9	1	8	0	206
Dundee_urban	Dundee	urban	September	44	0	37	7	0	32	7	1	5	1	420
Edinburgh_farmland	Edinburgh	farmland	June	44	1	40	3	0	2	1	0	1	0	830
Edinburgh_farmland	Edinburgh	farmland	July	44	1	42	1	0	2	0	0	0	0	923
Edinburgh_farmland	Edinburgh	farmland	August	24	0	22	2	0	22	2	0	2	0	915
Edinburgh_farmland	Edinburgh	farmland	September	0	0	0	0	0	0	0	0	0	0	306
Edinburgh_nature_reserve	Edinburgh	naturereserve	June	164	26	123	12	3	5	10	0	10	0	2813
Edinburgh_nature_reserve	Edinburgh	naturereserve	July	10	0	7	3	0	1	1	0	1	0	1487
Edinburgh_nature_reserve	Edinburgh	naturereserve	August	127	1	125	1	0	104	1	0	1	0	212
Edinburgh_nature_reserve	Edinburgh	naturereserve	September	3	2	1	0	0	1	0	0	0	0	9
Edinburgh_urban	Edinburgh	urban	June	10	0	3	7	0	0	7	0	7	0	135
Edinburgh_urban	Edinburgh	urban	July	20	2	4	14	0	1	13	2	11	1	442
Edinburgh_urban	Edinburgh	urban	August	63	0	42	21	0	39	20	0	20	1	41
Edinburgh_urban	Edinburgh	urban	September	6	0	3	3	0	3	2	0	2	1	54
Glasgow_farmland	Glasgow	farmland	June	209	10	195	1	3	18	1	0	1	0	372
Glasgow_farmland	Glasgow	farmland	July	95	2	79	13	1	24	12	0	12	0	841
Glasgow_farmland	Glasgow	farmland	August	52	0	50	2	0	17	1	0	1	0	290
Glasgow_farmland	Glasgow	farmland	September	53	0	52	1	0	37	0	0	0	0	176
Glasgow_nature_reserve	Glasgow	naturereserve	June	133	21	96	5	11	12	3	0	3	0	515
Glasgow_nature_reserve	Glasgow	naturereserve	July	104	9	75	13	7	9	12	0	12	0	1505
Glasgow_nature_reserve	Glasgow	naturereserve	August	78	3	67	8	0	15	8	0	8	0	908
Glasgow_nature_reserve	Glasgow	naturereserve	September	66	4	58	4	0	34	2	0	2	0	423
Glasgow_urban	Glasgow	urban	June	3	0	2	1	0	1	1	0	1	0	280
Glasgow_urban	Glasgow	urban	July	3	0	3	0	0	0	0	0	0	0	196
Glasgow_urban	Glasgow	urban	August	10	0	7	3	0	2	0	0	0	0	175
Glasgow_urban	Glasgow	urban	September	7	0	7	0	0	7	0	0	0	0	73
Hull_farmland	Hull	farmland	June	34	5	9	20	0	4	0	2	16	0	1703
Hull_farmland	Hull	farmland	July	14	4	3	6	1	1	0	3	3	0	42
Hull_farmland	Hull	farmland	August	47	0	45	2	0	44	0	0	1	0	375
Hull_farmland	Hull	farmland	September	2	1	1	0	0	0	0	0	0	0	337
Hull_nature_reserve	Hull	naturereserve	June	87	0	46	41	0	23	39	0	39	0	229
Hull_nature_reserve	Hull	naturereserve	July	110	11	14	85	0	8	84	3	81	0	525
Hull_nature_reserve	Hull	naturereserve	August	503	11	432	59	1	408	55	14	41	0	1323
Hull_nature_reserve	Hull	naturereserve	September	94	3	77	14	0	12	14	0	14	0	351
Hull_urban	Hull	urban	June	33	10	13	10	0	0	10	0	10	0	76
Hull_urban	Hull	urban	July	17	0	3	14	0	2	14	0	14	0	286
Hull_urban	Hull	urban	August	112	0	109	3	0	105	3	1	1	1	1160
Hull_urban	Hull	urban	September	12	0	11	1	0	6	1	0	1	0	289
Leeds_farmland	Leeds	farmland	June	44	2	1	40	1	1	40	12	28	0	344
Leeds_farmland	Leeds	farmland	July	18	0	10	8	0	1	8	0	8	0	473
Leeds_farmland	Leeds	farmland	August	33	0	15	18	0	8	18	7	11	0	34
Leeds_farmland	Leeds	farmland	September	26	0	21	5	0	4	0	0	0	0	11
Leeds_nature_reserve	Leeds	naturereserve	June	24	11	5	8	0	2	0	3	5	0	283
Leeds_nature_reserve	Leeds	naturereserve	July	17	4	9	3	1	4	0	0	2	0	11
Leeds_nature_reserve	Leeds	naturereserve	August	7	0	6	1	0	5	0	0	1	0	357
Leeds_nature_reserve	Leeds	naturereserve	September	6	0	4	2	0	2	0	0	1	0	0
Leeds_urban	Leeds	urban	June	76	0	4	72	0	2	71	13	56	2	3126
Leeds_urban	Leeds	urban	July	7	0	4	3	0	3	2	1	1	0	1287
Leeds_urban	Leeds	urban	August	40	0	29	11	0	29	11	1	9	1	369
Leeds_urban	Leeds	urban	September	29	0	27	2	0	27	2	2	0	0	173
London_farmland	London	farmland	June	98	2	2	94	0	2	92	17	75	0	1371
