Country	Site	Transect	Depth	Habitat	LCC	Gross_production	Gross_erosion	Net_production	Accretion_rate
Bahamas	CR	1	19	SEMR	7.88	2.04	1.49	0.56	0.57
Bahamas	CR	2	19	SEMR	9.61	1.94	1.51	0.43	0.49
Bahamas	CR	3	19	SEMR	5.69	1.25	1.54	-0.29	0.05
Bahamas	HW	1	17	SEMR	5.11	1.1	1.7	-0.6	-0.21
Bahamas	HW	2	17	SEMR	4.09	1.06	1.71	-0.65	-0.23
Bahamas	HW	3	17	SEMR	4.57	1.33	1.64	-0.31	-0.01
Bahamas	SS	1	20	SEMR	12.51	1.8	1.2	0.6	0.57
Bahamas	SS	2	20	SEMR	5.84	1.37	1.17	0.2	0.29
Bahamas	SS	3	20	SEMR	10.81	2.56	1.26	1.3	1.05
Belize	CBR	1	5	APZ	14.23	2.09	1.93	0.16	0.42
Belize	CBR	2	5	APZ	16.26	3.11	2.12	0.99	1.03
Belize	CBR	3	5	APZ	16.25	2.67	2	0.67	0.78
Belize	CBR	4	5	APZ	36.65	5.65	2.01	3.64	2.86
Belize	CBR	5	5	APZ	28.58	3.14	2.11	1.03	1.09
Belize	CBR	6	5	APZ	14.37	2.23	2.3	-0.07	0.34
Belize	CBR	1	10	FRMZ	17.16	3.7	0.94	2.76	2.03
Belize	CBR	2	10	FRMZ	26.99	3.76	0.89	2.87	2.11
Belize	CBR	3	10	FRMZ	15.6	1.54	1.02	0.52	0.49
Belize	CBR	4	10	FRMZ	13.24	3.27	1	2.27	1.69
Belize	CBR	5	10	FRMZ	9.06	1.22	0.87	0.35	0.36
Belize	CBR	6	10	FRMZ	7.7	1.15	0.98	0.17	0.23
Belize	SWC	1	5	APZ	17.43	3.76	2.39	1.37	1.32
Belize	SWC	2	5	APZ	7.34	0.94	2.27	-1.33	-0.56
Belize	SWC	3	5	APZ	16.99	2.91	2.33	0.58	0.79
Belize	SWC	4	5	APZ	14.26	2.66	2.13	0.53	0.7
Belize	SWC	5	5	APZ	8.52	1.94	2.31	-0.37	0.1
Belize	SWC	6	5	APZ	12.9	1.48	2.23	-0.75	-0.17
Belize	SWC	1	10	FRMZ	31.5	7.26	1.03	6.23	4.44
Belize	SWC	2	10	FRMZ	24.52	11.73	1.05	10.68	7.51
